time,ax,ay,az,atotal
5.515,-0.08,0.02,0.14,0.16
5.525,-0.04,0.02,0.18,0.19
5.535,-0.01,0.02,0.16,0.16
5.545,-0.01,0.04,0.06,0.07
5.555,-0.01,0.09,0.03,0.09
5.565,-0.05,0.07,-0.01,0.09
5.575,-0.12,0.02,0.03,0.13
5.585,-0.16,0.00,0.10,0.19
5.595,-0.16,0.02,0.11,0.19
5.605,-0.15,0.07,0.09,0.18
5.615,-0.11,0.09,0.05,0.15
5.625,-0.08,0.04,0.09,0.13
5.635,-0.08,-0.00,0.14,0.16
5.646,-0.16,-0.03,0.10,0.19
5.655,-0.14,-0.00,0.02,0.14
5.665,-0.09,0.03,0.01,0.10
5.675,-0.08,0.03,0.03,0.09
5.685,-0.07,0.01,0.01,0.07
5.695,-0.09,-0.00,-0.03,0.09
5.705,-0.15,-0.00,-0.12,0.20
5.715,-0.17,0.01,-0.24,0.30
5.725,-0.22,0.02,-0.13,0.26
5.735,-0.21,-0.01,-0.06,0.21
5.745,-0.23,0.01,-0.17,0.29
5.755,-0.29,0.03,-0.03,0.29
5.765,-0.28,-0.00,-0.00,0.28
5.775,-0.28,0.00,-0.10,0.29
5.785,-0.27,0.02,-0.15,0.31
5.795,-0.23,0.04,-0.07,0.25
5.805,-0.18,0.06,-0.02,0.19
5.815,-0.15,0.07,-0.09,0.19
5.825,-0.14,0.07,-0.11,0.19
5.835,-0.09,0.05,-0.07,0.12
5.845,-0.00,0.02,0.01,0.03
5.855,0.01,0.00,0.08,0.08
5.865,-0.00,-0.01,0.09,0.09
5.875,-0.03,0.02,0.08,0.09
5.885,-0.09,0.04,0.00,0.10
5.895,-0.10,0.08,-0.09,0.15
5.905,-0.09,0.08,-0.13,0.18
5.915,-0.12,0.08,-0.11,0.18
5.925,-0.14,0.08,-0.10,0.19
5.935,-0.15,0.08,-0.06,0.18
5.945,-0.12,0.09,0.02,0.15
5.955,-0.11,0.07,0.08,0.15
5.965,-0.10,0.01,0.10,0.14
5.975,-0.11,-0.05,0.06,0.14
5.985,-0.07,-0.07,0.14,0.17
5.995,-0.03,-0.03,0.20,0.20
6.005,0.00,0.04,0.09,0.10
6.015,0.04,0.02,-0.02,0.05
6.025,-0.02,-0.01,-0.08,0.09
6.035,-0.07,-0.01,-0.19,0.21
6.045,-0.10,0.03,-0.16,0.19
6.055,-0.12,0.08,0.00,0.14
6.065,-0.14,0.10,0.08,0.19
6.075,-0.14,0.09,0.12,0.20
6.085,-0.15,0.05,0.14,0.21
6.096,-0.14,0.04,0.09,0.17
6.105,-0.06,0.04,0.09,0.11
6.115,-0.03,0.05,0.06,0.09
6.125,-0.04,0.04,0.06,0.08
6.135,-0.08,0.03,0.01,0.08
6.145,-0.11,0.02,-0.08,0.14
6.155,-0.16,0.03,-0.13,0.20
6.165,-0.14,0.03,-0.13,0.19
6.175,-0.12,0.06,-0.11,0.18
6.185,-0.08,0.07,-0.02,0.11
6.196,-0.08,0.06,0.02,0.10
6.206,-0.13,0.02,-0.02,0.14
6.215,-0.15,0.03,-0.04,0.16
6.226,-0.13,0.01,-0.05,0.14
6.235,-0.10,0.02,-0.08,0.13
6.246,-0.08,0.05,-0.12,0.16
6.256,-0.13,0.07,-0.14,0.21
6.265,-0.17,0.03,-0.12,0.21
6.276,-0.20,-0.00,-0.08,0.21
6.286,-0.20,-0.00,-0.08,0.21
6.296,-0.18,-0.02,-0.05,0.19
6.306,-0.14,-0.03,-0.00,0.14
6.316,-0.08,-0.03,0.03,0.09
6.326,-0.04,0.01,0.02,0.04
6.336,-0.03,0.02,-0.00,0.04
6.346,-0.06,0.00,-0.04,0.07
